time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1021.342,0.955,-0.26,-0.511,0.097,-1.667,-0.111
1021.398,0.951,-0.258,-0.512,-0.033,0.929,0.164
1021.455,0.96,-0.259,-0.5,0.074,-0.255,0.019
1021.511,0.954,-0.261,-0.505,-0.018,-0.3,0.027
1021.567,0.96,-0.263,-0.497,0.265,0.272,0.324
1021.623,0.954,-0.256,-0.504,-0.071,-0.201,-0.004
1021.68,0.966,-0.26,-0.486,-0.071,0.051,-0.057
1021.736,0.955,-0.251,-0.497,0.02,0.486,0.256
1021.793,0.958,-0.258,-0.504,0.081,-0.461,-0.157
1021.849,0.96,-0.265,-0.499,-0.193,0.135,-0.095
1021.905,0.956,-0.264,-0.495,-0.003,0.089,-0.05
1021.962,0.957,-0.259,-0.5,0.02,-0.003,0.095
1022.019,0.957,-0.262,-0.503,-0.3,-0.102,0.08
1022.075,0.951,-0.256,-0.497,0.02,-0.194,-0.141
1022.131,0.955,-0.26,-0.499,-0.033,0.15,0.019
1022.188,0.959,-0.259,-0.494,0.188,0.196,-0.095
1022.244,0.94,-0.263,-0.502,-0.071,-0.285,-0.134
1022.3,0.958,-0.259,-0.497,-0.041,0.035,0.05
1022.356,0.939,-0.26,-0.515,-0.125,1.875,0.042
1022.413,0.95,-0.261,-0.498,-0.041,0.035,-0.065
1022.469,0.956,-0.255,-0.504,-0.048,-0.362,0.149
1022.526,0.938,-0.261,-0.503,-0.209,0.15,-0.05
1022.582,0.952,-0.262,-0.511,0.005,-0.239,-0.042
1022.638,0.962,-0.251,-0.497,0.158,0.501,0.072
1022.694,0.958,-0.255,-0.503,-0.102,-0.522,-0.279
1022.75,0.957,-0.26,-0.501,-0.125,0.257,0.164
1022.806,0.953,-0.261,-0.503,-0.148,-0.216,-0.042
1022.863,0.958,-0.258,-0.504,-0.003,0.142,0.156
1022.92,0.946,-0.263,-0.506,-0.041,0.081,-0.172
1022.976,0.956,-0.26,-0.502,-0.163,-0.285,0.034
1023.033,0.951,-0.261,-0.509,-0.109,0.867,0.149
1023.089,0.96,-0.263,-0.498,-0.239,-0.445,-0.004
1023.146,0.954,-0.26,-0.506,-0.079,0.402,-0.05
1023.202,0.954,-0.267,-0.503,-0.025,-0.407,-0.065
1023.259,0.96,-0.263,-0.501,0.173,0.471,0.149
1023.316,0.954,-0.258,-0.502,-0.232,-0.224,0.057
1023.372,0.958,-0.262,-0.495,-0.14,0.058,0.011
1023.429,0.967,-0.257,-0.507,-0.109,-0.369,-0.111
1023.485,0.951,-0.26,-0.512,-0.01,0.348,0.24
1023.541,0.957,-0.268,-0.499,0.043,-0.133,0.111
1023.598,0.956,-0.263,-0.494,-0.003,-0.201,-0.149
1023.655,0.953,-0.262,-0.507,0.112,0.226,-0.095
1023.712,0.958,-0.26,-0.505,0.074,-0.354,-0.019
1023.768,0.955,-0.26,-0.5,0.036,0.28,-0.141
1023.824,0.95,-0.263,-0.503,-0.056,-0.415,-0.111
1023.88,0.952,-0.259,-0.508,-0.201,0.287,0.164
1023.936,0.96,-0.257,-0.506,0.265,-0.117,0.103
1023.992,0.958,-0.269,-0.507,-0.094,-0.14,-0.149
1024.048,0.956,-0.264,-0.505,-0.27,0.02,-0.103
1024.104,0.956,-0.265,-0.508,0.234,-0.3,0.027
1024.16,0.957,-0.261,-0.515,-0.109,-0.003,0.08
1024.216,0.957,-0.265,-0.5,-0.018,-0.3,0.141
1024.272,0.956,-0.261,-0.505,-0.3,-0.209,0.027
1024.328,0.957,-0.263,-0.499,0.097,0.188,-0.103
1024.385,0.955,-0.26,-0.507,0.059,-0.102,0.111
1024.441,0.951,-0.26,-0.499,0.036,-0.239,-0.225
1024.497,0.952,-0.261,-0.489,-0.064,0.104,-0.057
1024.554,0.95,-0.264,-0.504,-0.033,-0.323,-0.073
1024.61,0.959,-0.263,-0.496,-0.064,0.219,-0.004
1024.666,0.959,-0.265,-0.492,-0.094,-0.125,-0.248
1024.722,0.953,-0.26,-0.506,0.013,0.043,-0.095
1024.778,0.956,-0.263,-0.497,-0.086,-1.995,-0.111
1024.834,0.961,-0.26,-0.511,-0.041,0.402,-0.073
1024.89,0.958,-0.263,-0.496,0.066,-0.278,0.21
1024.946,0.958,-0.265,-0.499,0.15,0.112,-0.034
1025.002,0.956,-0.281,-0.505,-0.041,-0.4,0.011
1025.059,0.958,-0.261,-0.5,-0.064,0.532,-0.195
1025.115,0.958,-0.263,-0.5,-0.01,-0.675,0.057
1025.172,0.956,-0.26,-0.509,-0.209,0.509,-0.057
1025.228,0.962,-0.266,-0.508,0.188,-0.262,-0.103
1025.284,0.96,-0.258,-0.504,0.188,0.264,0.065
1025.34,0.938,-0.259,-0.496,-0.086,0.051,-0.21
1025.396,0.96,-0.253,-0.503,0.295,-0.323,0.065
1025.452,0.957,-0.265,-0.499,0.036,0.119,0.134
1025.508,0.962,-0.269,-0.489,-0.071,-0.117,0.065
1025.564,0.958,-0.262,-0.503,-0.117,0.196,0.141
1025.621,0.955,-0.257,-0.502,-0.102,0.013,0.118
1025.677,0.954,-0.256,-0.494,0.112,-0.026,-0.248
1025.733,0.96,-0.264,-0.498,0.028,-0.171,0.027
1025.79,0.948,-0.257,-0.495,0.15,0.142,-0.126
1025.846,0.951,-0.258,-0.505,0.074,-0.316,0.118
1025.902,0.953,-0.264,-0.499,-0.086,0.348,-0.225
1025.958,0.964,-0.26,-0.513,0.112,-1.522,-0.103
1026.014,0.959,-0.261,-0.506,-0.102,1.173,0.126
1026.07,0.956,-0.264,-0.496,0.249,-1.14,0.156
1026.126,0.956,-0.263,-0.494,-0.01,0.562,-0.011
1026.182,0.963,-0.262,-0.505,0.074,-0.14,-0.164
1026.239,0.955,-0.266,-0.499,0.02,-0.071,-0.111
1026.295,0.961,-0.262,-0.504,-0.193,0.31,0.011
1026.352,0.952,-0.268,-0.503,0.028,0.081,0.065
1026.408,0.955,-0.254,-0.508,0.005,-0.453,-0.095
1026.464,0.954,-0.258,-0.501,0.226,0.264,-0.073
1026.521,0.951,-0.267,-0.502,-0.232,-0.514,0.08
1026.577,0.959,-0.262,-0.504,0.112,0.333,-0.195
1026.633,0.954,-0.273,-0.495,-0.056,-0.392,-0.202
1026.69,0.955,-0.259,-0.505,0.081,0.257,0.126
1026.746,0.953,-0.263,-0.49,-0.209,0.066,0.088
1026.802,0.955,-0.263,-0.505,0.112,-0.308,0.195
1026.863,0.966,-0.278,-0.51,0.211,0.058,0.286
1026.92,0.958,-0.26,-0.504,0.005,0.005,0.072
1026.976,0.952,-0.26,-0.499,0.097,-0.644,-0.08
1027.032,0.954,-0.264,-0.513,-0.155,0.287,0.072
1027.088,0.955,-0.258,-0.496,0.226,-0.094,-0.218
1027.145,0.959,-0.259,-0.511,-0.048,-0.163,0.141
1027.201,0.958,-0.269,-0.5,0.288,0.684,-0.088
1027.257,0.943,-0.264,-0.516,0.104,-0.4,0.027
1027.314,0.967,-0.261,-0.493,0.005,0.532,0.027
1027.37,0.952,-0.257,-0.511,-0.056,-0.72,0.042
1027.426,0.949,-0.265,-0.51,-0.025,0.264,0.011
1027.482,0.938,-0.264,-0.503,-0.163,-0.102,0.011
1027.538,0.958,-0.259,-0.498,-0.048,-0.247,0.057
1027.594,0.951,-0.265,-0.487,-0.003,-0.27,0.034
1027.65,0.954,-0.265,-0.493,-0.048,0.608,0.095
1027.706,0.953,-0.258,-0.5,0.081,-0.11,-0.034
1027.762,0.964,-0.263,-0.498,-0.025,0.303,0.011
1027.819,0.953,-0.264,-0.496,0.02,-0.476,-0.08
1027.875,0.954,-0.258,-0.509,0.081,0.463,-0.073
1027.931,0.961,-0.258,-0.493,-0.117,-0.239,-0.118
1027.987,0.957,-0.26,-0.508,-0.025,0.112,-0.195
1028.044,0.962,-0.256,-0.488,0.12,-0.262,-0.088
1028.1,0.953,-0.258,-0.51,-0.01,-0.14,-0.218
1028.156,0.956,-0.257,-0.501,-0.01,0.188,0.103
1028.212,0.957,-0.263,-0.502,0.013,0.005,-0.057
1028.268,0.952,-0.253,-0.489,-0.033,-0.163,-0.019
1028.325,0.958,-0.257,-0.486,-0.056,0.119,0.179
1028.381,0.956,-0.266,-0.499,0.036,-0.293,-0.202
1028.438,0.955,-0.264,-0.494,0.158,0.104,-0.08
1028.494,0.955,-0.265,-0.51,-0.01,-0.384,-0.057
1028.55,0.953,-0.26,-0.503,-0.01,0.142,0.042
1028.606,0.952,-0.262,-0.503,-0.094,-0.071,0.004
1028.662,0.959,-0.261,-0.503,-0.033,-0.491,0.065
1028.719,0.949,-0.269,-0.502,-0.155,0.417,-0.042
1028.775,0.954,-0.251,-0.496,-0.079,-0.148,0.271
1028.831,0.954,-0.254,-0.507,0.135,0.119,0.088
1028.888,0.948,-0.262,-0.5,-0.117,-0.239,0.057
1028.944,0.954,-0.26,-0.505,-0.079,-0.415,-0.073
1029.0,0.956,-0.264,-0.509,0.12,-0.102,-0.004
1029.056,0.951,-0.263,-0.512,0.02,1.135,0.08
1029.112,0.957,-0.265,-0.512,0.12,-0.926,-0.027
1029.168,0.959,-0.261,-0.504,0.028,1.555,-0.027
1029.224,0.951,-0.268,-0.5,-0.071,-0.827,-0.164
1029.28,0.959,-0.26,-0.497,-0.132,0.73,-0.065
1029.336,0.949,-0.266,-0.5,-0.216,-0.415,-0.027
1029.392,0.953,-0.261,-0.495,0.043,-0.369,-0.08
1029.448,0.954,-0.256,-0.5,0.074,0.104,0.172
1029.504,0.958,-0.265,-0.498,-0.224,-0.026,0.019
1029.561,0.956,-0.255,-0.5,0.089,0.081,-0.111
1029.617,0.967,-0.262,-0.485,0.081,-0.041,0.05
1029.674,0.938,-0.27,-0.504,0.272,-0.018,-0.073
1029.73,0.948,-0.257,-0.503,-0.086,-1.98,-0.088
1029.786,0.956,-0.279,-0.5,0.074,-0.049,0.301
1029.842,0.954,-0.261,-0.515,0.104,-0.537,-0.233
1029.899,0.954,-0.261,-0.503,-0.056,-0.194,0.027
1029.956,0.952,-0.26,-0.508,-0.086,-0.033,-0.004
1030.012,0.956,-0.257,-0.493,0.036,0.196,0.118
1030.069,0.958,-0.258,-0.5,-0.064,0.173,-0.103
1030.125,0.956,-0.258,-0.506,0.135,0.119,0.065
1030.181,0.955,-0.266,-0.496,0.005,0.318,0.072
1030.238,0.959,-0.266,-0.504,0.127,-0.026,0.057
1030.294,0.953,-0.262,-0.505,0.089,-0.163,-0.057
1030.351,0.962,-0.261,-0.496,0.043,-0.194,0.027
1030.407,0.951,-0.265,-0.507,-0.033,-0.079,0.126
1030.463,0.961,-0.266,-0.501,0.028,-0.362,-0.057
1030.52,0.96,-0.263,-0.502,0.158,-0.064,-0.019
1030.576,0.955,-0.259,-0.504,-0.148,0.142,0.027
1030.632,0.951,-0.266,-0.503,0.013,0.02,0.057
1030.688,0.952,-0.256,-0.506,0.081,-0.125,0.065
1030.745,0.958,-0.255,-0.504,-0.041,0.028,-0.126
1030.801,0.952,-0.26,-0.503,0.005,0.066,0.141
1030.857,0.953,-0.26,-0.504,0.196,0.043,-0.057
1030.913,0.953,-0.265,-0.504,-0.163,-0.178,0.065
1030.97,0.955,-0.258,-0.513,-0.086,-0.003,0.103
1031.026,0.951,-0.266,-0.505,0.013,0.058,-0.042
1031.083,0.957,-0.262,-0.502,-0.033,0.051,0.37
1031.139,0.953,-0.26,-0.502,-0.086,0.104,0.072
1031.196,0.969,-0.256,-0.512,-0.056,-0.262,-0.019
1031.252,0.953,-0.262,-0.509,-0.041,0.028,-0.042
1031.309,0.955,-0.258,-0.509,0.112,0.043,0.141
1031.365,0.967,-0.259,-0.503,0.059,-0.133,-0.157
1031.421,0.956,-0.255,-0.507,-0.071,-0.178,-0.027
1031.477,0.956,-0.262,-0.494,-0.064,0.18,-0.057
1031.533,0.96,-0.263,-0.508,-0.003,-0.01,0.027
1031.589,0.964,-0.26,-0.5,-0.232,-0.155,-0.134
1031.646,0.953,-0.26,-0.497,0.097,0.119,0.05
1031.702,0.949,-0.262,-0.507,-0.186,-0.033,-0.08
1031.759,0.961,-0.262,-0.503,0.005,0.066,0.095
1031.815,0.951,-0.265,-0.496,0.066,-0.239,0.149
1031.871,0.956,-0.27,-0.504,0.143,1.875,-0.111
1031.927,0.946,-0.26,-0.498,-0.003,0.02,0.34
1031.984,0.952,-0.26,-0.499,0.02,-0.003,0.095
1032.04,0.958,-0.261,-0.514,-0.056,0.013,-0.164
1032.096,0.957,-0.273,-0.501,0.036,0.089,0.027
1032.153,0.949,-0.281,-0.501,0.02,-0.201,0.141
1032.209,0.958,-0.264,-0.502,-0.056,-0.14,0.08
1032.266,0.949,-0.262,-0.504,-0.01,-0.148,0.034
1032.322,0.956,-0.26,-0.501,-0.109,-0.209,-0.004
1032.379,0.956,-0.263,-0.508,0.089,0.005,0.187
1032.435,0.968,-0.264,-0.508,-0.094,-0.178,0.164
1032.491,0.957,-0.261,-0.495,0.12,-0.003,-0.042
1032.547,0.956,-0.261,-0.501,0.158,-0.117,0.126
1032.603,0.954,-0.26,-0.5,-0.148,0.272,0.095
1032.66,0.954,-0.259,-0.51,0.013,-0.01,0.218
1032.716,0.967,-0.264,-0.502,0.143,-0.285,-0.157
1032.772,0.963,-0.26,-0.502,-0.01,0.035,0.034
1032.828,0.961,-0.26,-0.507,-0.056,0.119,0.218
1032.884,0.954,-0.259,-0.51,0.127,-0.018,0.233
1032.94,0.958,-0.263,-0.502,-0.048,-0.209,-0.088
1032.996,0.959,-0.261,-0.497,-0.056,-0.033,0.019
1033.052,0.955,-0.259,-0.506,0.097,0.058,-0.195
1033.109,0.958,-0.254,-0.511,-0.048,0.02,-0.263
1033.165,0.959,-0.258,-0.501,0.081,-0.01,-0.088
1033.221,0.951,-0.268,-0.503,-0.003,-0.064,-0.24
1033.277,0.953,-0.261,-0.5,-0.071,0.005,-0.019
1033.334,0.953,-0.252,-0.497,-0.071,-0.064,-0.126
1033.39,0.959,-0.262,-0.498,0.02,0.043,0.057
1033.446,0.952,-0.26,-0.497,-0.056,-0.064,-0.088
1033.502,0.959,-0.266,-0.501,-0.079,0.081,0.218
1033.558,0.959,-0.262,-0.5,0.043,-0.148,-0.095
1033.614,0.953,-0.273,-0.502,-0.003,0.15,0.011
1033.671,0.953,-0.26,-0.514,0.097,-0.041,0.042
1033.727,0.955,-0.26,-0.487,-0.102,0.127,0.095
1033.784,0.955,-0.263,-0.497,0.036,-1.987,0.034
1033.84,0.953,-0.263,-0.498,0.089,-0.14,-0.004
1033.896,0.952,-0.259,-0.501,-0.056,-0.087,-0.088
1033.952,0.952,-0.262,-0.509,0.104,-0.163,-0.05
1034.009,0.95,-0.261,-0.5,0.028,-0.049,0.011
1034.065,0.954,-0.257,-0.509,0.135,0.089,-0.034
1034.122,0.955,-0.264,-0.495,0.158,-0.018,0.072
1034.178,0.955,-0.258,-0.508,0.036,0.211,0.042
1034.234,0.953,-0.263,-0.505,-0.125,-0.125,0.042
1034.29,0.959,-0.264,-0.5,-0.086,0.081,0.111
1034.346,0.955,-0.264,-0.494,0.104,0.028,0.118
1034.402,0.955,-0.266,-0.514,0.219,-0.056,0.134
1034.459,0.958,-0.259,-0.504,-0.064,0.188,0.118
1034.515,0.958,-0.259,-0.507,-0.003,0.043,0.103
1034.571,0.958,-0.25,-0.514,0.127,-2.01,-0.08
1034.627,0.958,-0.26,-0.502,0.127,0.028,0.042
1034.683,0.953,-0.262,-0.498,0.005,-0.27,0.126
1034.74,0.96,-0.262,-0.505,-0.193,-0.209,0.042
1034.796,0.955,-0.259,-0.5,0.036,-0.102,-0.225
1034.852,0.954,-0.26,-0.513,0.005,0.074,-0.057
1034.908,0.954,-0.264,-0.508,-0.041,-0.049,0.05
1034.964,0.938,-0.26,-0.503,-0.033,0.066,0.095
1035.02,0.948,-0.261,-0.502,0.005,-0.224,-0.157
1035.076,0.956,-0.26,-0.496,-0.025,-0.125,-0.103
1035.132,0.957,-0.261,-0.509,-0.079,0.158,0.057
1035.189,0.953,-0.263,-0.505,-0.071,0.035,0.202
1035.245,0.954,-0.278,-0.495,-0.132,0.051,-0.218
1035.301,0.958,-0.259,-0.485,-0.262,-0.094,0.057
1035.358,0.957,-0.266,-0.505,0.066,-0.087,-0.294
1035.414,0.954,-0.263,-0.508,-0.064,-0.018,0.042
1035.47,0.952,-0.259,-0.501,-0.117,-0.003,-0.057
1035.526,0.951,-0.256,-0.496,-0.186,-0.079,0.011
1035.582,0.95,-0.251,-0.507,0.059,-0.071,-0.08
1035.638,0.959,-0.266,-0.51,0.02,0.18,-0.21
1035.694,0.939,-0.265,-0.514,-0.086,-0.064,-0.141
1035.75,0.962,-0.258,-0.508,-0.064,0.081,-0.042
1035.806,0.959,-0.262,-0.507,-0.071,0.02,0.057
1035.862,0.958,-0.262,-0.506,-0.102,0.089,-0.21
1035.919,0.947,-0.251,-0.502,0.028,-0.087,-0.103
1035.975,0.953,-0.261,-0.499,-0.033,1.883,-0.019
1036.031,0.961,-0.261,-0.503,0.104,0.127,0.019
1036.087,0.957,-0.258,-0.503,-0.277,-0.064,-0.019
1036.143,0.953,-0.26,-0.504,0.12,0.15,-0.073
1036.2,0.963,-0.263,-0.494,-0.148,-0.239,-0.126
1036.256,0.961,-0.255,-0.5,0.097,0.043,-0.034
1036.312,0.955,-0.261,-0.499,0.043,-0.194,-0.218
1036.369,0.955,-0.259,-0.509,0.028,-0.102,-0.134
1036.425,0.958,-0.258,-0.507,-0.155,0.089,0.141
1036.482,0.957,-0.261,-0.494,-0.048,-0.262,-0.027
1036.539,0.956,-0.265,-0.499,-0.079,0.02,0.072
1036.595,0.956,-0.257,-0.504,-0.018,-0.041,0.034
1036.652,0.96,-0.26,-0.499,0.043,0.035,-0.011
1036.708,0.954,-0.26,-0.498,-0.086,0.005,0.042
1036.764,0.958,-0.263,-0.495,-0.17,1.883,-0.256
1036.82,0.951,-0.264,-0.503,-0.025,1.883,-0.011
1036.876,0.953,-0.267,-0.504,-0.079,0.043,-0.118
1036.932,0.953,-0.259,-0.5,-0.041,-0.201,-0.004
1036.988,0.958,-0.263,-0.503,-0.125,0.066,-0.027
1037.045,0.954,-0.263,-0.5,-0.056,-0.155,0.118
1037.101,0.95,-0.263,-0.5,0.265,0.142,-0.218
1037.157,0.958,-0.265,-0.514,-0.01,0.165,0.072
1037.214,0.958,-0.265,-0.499,0.219,-0.087,0.065
1037.27,0.953,-0.263,-0.509,-0.254,-0.033,0.21
1037.326,0.958,-0.261,-0.492,-0.003,-0.064,-0.034
1037.382,0.938,-0.262,-0.499,-0.064,-0.224,-0.172
1037.438,0.956,-0.26,-0.502,-0.041,-0.033,-0.057
1037.494,0.953,-0.259,-0.501,0.097,0.028,0.095
1037.55,0.954,-0.259,-0.501,-0.117,-0.102,0.065
1037.606,0.958,-0.258,-0.501,-0.109,-0.102,0.08
1037.662,0.957,-0.263,-0.503,0.028,0.188,-0.05
1037.718,0.961,-0.258,-0.501,-0.148,-2.01,-0.034
1037.774,0.956,-0.262,-0.498,0.059,0.02,-0.172
1037.83,0.939,-0.261,-0.495,-0.025,1.852,0.072
1037.886,0.952,-0.267,-0.497,0.043,-0.049,0.004
1037.943,0.955,-0.263,-0.505,0.097,0.081,-0.011
1038.0,0.957,-0.262,-0.508,-0.033,0.127,0.141
1038.056,0.957,-0.263,-0.503,-0.117,1.89,0.08
1038.112,0.957,-0.261,-0.496,0.059,0.035,-0.05
1038.169,0.95,-0.261,-0.499,-0.155,0.035,0.294
1038.225,0.962,-0.258,-0.499,0.127,-0.148,-0.073
1038.281,0.954,-0.264,-0.495,-0.224,-0.216,0.057
1038.338,0.955,-0.265,-0.498,-0.071,-2.01,0.095
1038.395,0.958,-0.26,-0.506,-0.018,0.135,0.057
1038.451,0.956,-0.278,-0.501,0.02,-1.987,0.042
1038.508,0.962,-0.263,-0.503,-0.079,-0.018,-0.149
1038.564,0.953,-0.259,-0.499,-0.018,-0.171,-0.111
1038.62,0.949,-0.264,-0.506,-0.148,-0.117,-0.042
1038.676,0.965,-0.262,-0.497,0.089,0.135,0.095
1038.733,0.963,-0.262,-0.498,-0.14,-0.01,0.149
1038.789,0.952,-0.263,-0.499,-0.018,0.203,0.141
1038.846,0.959,-0.261,-0.495,-0.018,-0.216,-0.118
1038.902,0.968,-0.259,-0.498,-0.178,0.15,-0.08
1038.958,0.955,-0.257,-0.498,0.104,0.119,0.011
1039.014,0.956,-0.27,-0.51,-0.224,0.051,0.134
1039.07,0.957,-0.262,-0.515,0.135,-0.003,-0.065
1039.126,0.954,-0.266,-0.504,0.089,0.211,0.004
1039.182,0.961,-0.262,-0.506,-0.064,-0.003,0.004
1039.239,0.951,-0.263,-0.498,-0.003,0.066,0.027
1039.296,0.941,-0.267,-0.497,0.059,-2.003,0.141
1039.352,0.955,-0.263,-0.502,0.097,-0.194,0.004
1039.408,0.958,-0.254,-0.496,-0.109,0.096,0.095
1039.464,0.958,-0.265,-0.489,0.135,-0.194,-0.057
1039.52,0.968,-0.264,-0.51,0.028,0.096,-0.233
1039.576,0.954,-0.262,-0.507,-0.041,-0.026,-0.004
1039.632,0.956,-0.264,-0.505,0.051,-0.262,0.134
1039.689,0.957,-0.26,-0.506,0.028,-0.01,0.134
1039.745,0.954,-0.261,-0.498,-0.102,0.096,-0.271
1039.802,0.954,-0.261,-0.493,-0.132,0.188,0.202
1039.858,0.958,-0.263,-0.509,0.02,0.005,0.202
1039.914,0.948,-0.262,-0.511,-0.163,0.066,0.072
1039.971,0.957,-0.264,-0.508,0.097,0.035,-0.088
1040.027,0.957,-0.261,-0.506,0.089,0.158,-0.073
1040.083,0.96,-0.262,-0.499,-0.056,-0.117,-0.004
1040.139,0.955,-0.263,-0.503,0.081,-0.094,0.057
