time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1059.106,0.961,-0.259,-0.498,-0.003,-0.026,-0.011
1059.162,0.956,-0.262,-0.504,-0.071,0.127,0.218
1059.218,0.961,-0.262,-0.511,-0.064,-2.003,0.027
1059.275,0.958,-0.259,-0.496,-0.018,0.203,0.088
1059.331,0.947,-0.259,-0.501,0.104,-0.003,-0.073
1059.387,0.951,-0.261,-0.508,0.028,1.883,-0.317
1059.443,0.958,-0.264,-0.502,0.028,-0.064,0.179
1059.499,0.958,-0.267,-0.504,-0.308,-0.026,-0.095
1059.555,0.957,-0.261,-0.512,-0.094,-0.14,-0.027
1059.612,0.955,-0.261,-0.504,-0.102,-0.018,0.019
1059.668,0.952,-0.262,-0.502,0.074,1.89,0.027
1059.725,0.957,-0.26,-0.505,0.135,0.203,0.019
1059.781,0.957,-0.263,-0.493,-0.14,0.18,0.195
1059.837,0.959,-0.27,-0.504,-0.117,0.112,-0.05
1059.898,0.955,-0.26,-0.502,0.005,0.013,0.08
1059.954,0.95,-0.26,-0.497,-0.109,0.035,-0.172
1060.01,0.938,-0.26,-0.504,-0.033,-0.186,-0.149
1060.066,0.955,-0.258,-0.495,-0.102,-0.033,0.118
1060.122,0.955,-0.257,-0.507,-0.064,0.074,-0.004
1060.178,0.956,-0.261,-0.498,0.043,-0.01,0.034
1060.234,0.953,-0.263,-0.508,-0.254,-0.041,-0.126
1060.291,0.952,-0.279,-0.504,-0.071,0.02,0.072
1060.347,0.952,-0.259,-0.493,-0.14,0.058,0.08
1060.404,0.956,-0.263,-0.508,0.036,1.883,-0.08
1060.46,0.96,-0.263,-0.502,0.013,-0.041,-0.134
1060.516,0.955,-0.263,-0.501,0.036,0.013,0.072
1060.573,0.958,-0.265,-0.504,-0.079,0.081,-0.256
1060.629,0.957,-0.262,-0.498,-0.094,0.043,0.179
1060.685,0.957,-0.26,-0.492,-0.064,0.066,0.103
1060.742,0.957,-0.261,-0.5,0.097,0.165,0.24
1060.798,0.955,-0.26,-0.504,-0.048,0.112,0.187
1060.854,0.958,-0.266,-0.497,0.02,-0.094,0.065
1060.911,0.958,-0.264,-0.486,0.013,0.074,0.004
1060.968,0.957,-0.268,-0.503,0.196,-0.186,0.164
1061.024,0.967,-0.265,-0.506,0.051,0.043,0.034
1061.08,0.953,-0.264,-0.502,-0.025,-0.049,0.05
1061.136,0.957,-0.26,-0.506,-0.033,-0.27,0.05
1061.192,0.955,-0.263,-0.501,-0.056,-0.201,-0.073
1061.248,0.954,-0.259,-0.506,0.127,0.188,-0.134
1061.304,0.95,-0.264,-0.5,-0.056,-0.003,0.011
1061.36,0.955,-0.258,-0.5,-0.041,-0.232,-0.004
1061.416,0.956,-0.26,-0.504,0.158,0.066,0.111
1061.472,0.95,-0.267,-0.507,-0.033,0.013,0.218
1061.529,0.953,-0.256,-0.507,-0.209,-0.171,-0.202
1061.585,0.959,-0.261,-0.499,0.074,-0.026,0.195
1061.641,0.956,-0.28,-0.506,0.059,0.15,0.011
1061.697,0.952,-0.257,-0.499,-0.018,0.142,-0.103
1061.753,0.958,-0.259,-0.507,-0.125,0.173,-0.134
1061.81,0.958,-0.277,-0.492,-0.048,-0.285,0.065
1061.866,0.943,-0.26,-0.515,-0.094,0.173,-0.103
1061.923,0.959,-0.265,-0.497,0.204,0.035,0.019
1061.979,0.956,-0.26,-0.507,0.028,-0.01,0.019
1062.036,0.951,-0.254,-0.508,-0.209,-0.384,0.141
1062.092,0.947,-0.266,-0.507,-0.025,-0.881,0.004
1062.148,0.963,-0.254,-0.495,0.005,3.211,0.141
1062.204,0.965,-0.265,-0.499,0.211,-3.461,-0.263
1062.26,0.956,-0.259,-0.492,-0.178,3.035,0.355
1062.316,0.945,-0.276,-0.508,0.165,-2.102,-0.042
1062.372,0.959,-0.259,-0.496,0.143,1.951,-0.172
1062.428,0.96,-0.259,-0.507,-0.079,-1.339,0.126
1062.485,0.956,-0.242,-0.498,0.097,-0.163,0.164
1062.541,0.959,-0.256,-0.516,-0.3,1.379,0.202
1062.597,0.951,-0.268,-0.498,0.036,-1.216,-0.164
1062.653,0.959,-0.269,-0.505,-0.018,1.906,0.08
1062.709,0.96,-0.256,-0.499,-0.132,0.654,0.385
1062.765,0.959,-0.255,-0.494,0.173,-0.911,-0.118
1062.822,0.952,-0.266,-0.517,0.005,-0.056,0.095
1062.879,0.956,-0.272,-0.489,0.036,-2.133,-0.011
1062.935,0.958,-0.253,-0.511,0.036,0.593,-0.073
1062.991,0.955,-0.256,-0.495,0.005,-0.178,-0.111
1063.047,0.957,-0.262,-0.5,-0.125,0.226,-0.057
1063.103,0.953,-0.268,-0.499,-0.048,0.616,0.317
1063.16,0.957,-0.273,-0.493,0.28,-0.43,0.363
1063.216,0.961,-0.253,-0.512,-0.025,-0.781,-0.073
1063.273,0.962,-0.258,-0.496,-0.064,0.577,0.141
1063.329,0.951,-0.263,-0.501,-0.071,-1.224,-0.08
1063.385,0.961,-0.268,-0.492,-0.193,0.394,0.149
1063.442,0.958,-0.258,-0.496,0.181,-0.186,-0.027
1063.498,0.968,-0.259,-0.508,0.127,-0.201,-0.065
1063.554,0.956,-0.269,-0.494,0.013,0.867,0.279
1063.611,0.954,-0.261,-0.51,0.036,-1.262,-0.042
1063.667,0.956,-0.263,-0.502,0.112,0.348,0.05
1063.724,0.953,-0.261,-0.502,-0.003,-0.652,0.072
1063.78,0.959,-0.259,-0.496,-0.048,0.463,0.027
1063.836,0.957,-0.265,-0.504,0.074,0.555,0.141
1063.892,0.955,-0.267,-0.496,0.036,-0.415,-0.034
1063.948,0.953,-0.262,-0.51,-0.071,0.547,0.065
1064.005,0.956,-0.264,-0.504,-0.14,-0.308,0.218
1064.061,0.956,-0.268,-0.492,0.02,0.333,-0.248
1064.117,0.958,-0.261,-0.497,-0.048,-0.01,0.149
1064.174,0.964,-0.258,-0.5,0.158,-1.094,-0.042
1064.23,0.95,-0.281,-0.506,-0.163,1.219,-0.05
1064.286,0.959,-0.269,-0.498,-0.01,-0.728,0.027
1064.342,0.956,-0.265,-0.499,0.097,0.883,0.156
1064.399,0.964,-0.262,-0.494,-0.064,-0.758,-0.355
1064.455,0.951,-0.262,-0.51,-0.086,-0.407,-0.088
1064.511,0.956,-0.264,-0.5,-0.132,0.325,0.019
1064.568,0.957,-0.261,-0.502,-0.025,-0.133,0.141
1064.624,0.956,-0.254,-0.499,0.081,-0.018,-0.034
1064.681,0.95,-0.253,-0.508,-0.041,-0.133,-0.141
1064.737,0.949,-0.268,-0.498,-0.01,0.119,-0.011
1064.794,0.959,-0.261,-0.506,0.074,-0.339,0.218
1064.85,0.955,-0.262,-0.505,-0.17,0.043,0.462
1064.906,0.952,-0.265,-0.498,0.181,-0.194,0.019
1064.962,0.963,-0.262,-0.499,-0.178,0.547,0.072
1065.018,0.953,-0.262,-0.499,0.074,-0.369,0.042
1065.075,0.957,-0.264,-0.5,-0.17,0.707,0.042
1065.131,0.95,-0.253,-0.506,-0.102,-0.835,-0.21
1065.188,0.965,-0.255,-0.5,-0.163,0.982,0.103
1065.244,0.957,-0.262,-0.503,-0.132,-0.606,0.034
1065.3,0.949,-0.268,-0.505,-0.422,-0.514,-0.324
1065.356,0.956,-0.259,-0.503,-0.102,-0.14,0.393
1065.412,0.959,-0.263,-0.492,-0.17,0.104,0.057
1065.468,0.951,-0.264,-0.498,-0.193,0.005,0.141
1065.525,0.955,-0.266,-0.498,-0.224,-0.14,0.027
1065.581,0.959,-0.258,-0.494,-0.025,0.348,0.088
1065.637,0.952,-0.257,-0.499,-0.125,0.31,-0.103
1065.693,0.955,-0.259,-0.499,0.066,-0.194,0.156
1065.75,0.952,-0.261,-0.5,0.051,-0.194,0.065
1065.806,0.951,-0.265,-0.496,0.234,-0.369,-0.134
1065.862,0.954,-0.264,-0.506,-0.071,-0.018,-0.332
1065.919,0.955,-0.268,-0.495,0.158,0.287,-0.004
1065.976,0.954,-0.254,-0.505,-0.155,-0.026,0.08
1066.032,0.949,-0.26,-0.504,-0.109,0.119,0.011
1066.088,0.957,-0.253,-0.505,0.036,-1.995,0.019
1066.145,0.954,-0.262,-0.5,-0.064,-0.094,0.095
1066.201,0.961,-0.263,-0.504,0.059,-0.033,-0.05
1066.257,0.953,-0.262,-0.506,0.051,-0.148,-0.149
1066.314,0.955,-0.26,-0.498,-0.071,-0.056,-0.172
1066.37,0.954,-0.265,-0.502,-0.102,0.058,-0.157
1066.426,0.954,-0.262,-0.504,-0.132,-0.041,-0.027
1066.482,0.956,-0.266,-0.504,0.135,0.074,-0.141
1066.539,0.951,-0.263,-0.505,0.036,-0.323,-0.042
1066.595,0.957,-0.266,-0.503,0.127,-0.056,0.126
1066.651,0.95,-0.261,-0.506,0.44,-0.232,0.065
1066.707,0.957,-0.26,-0.511,-0.071,0.448,0.195
1066.764,0.955,-0.258,-0.502,-0.041,-0.087,0.118
1066.82,0.957,-0.263,-0.5,0.226,-0.01,0.004
1066.876,0.949,-0.261,-0.503,0.066,0.142,0.172
1066.932,0.96,-0.258,-0.497,0.059,0.165,-0.057
1066.988,0.962,-0.266,-0.513,0.036,0.028,-0.118
1067.044,0.956,-0.266,-0.505,-0.338,0.112,0.08
1067.1,0.963,-0.265,-0.495,0.051,-0.293,-0.027
1067.156,0.951,-0.265,-0.498,-0.247,0.013,-0.21
1067.212,0.957,-0.26,-0.505,-0.041,-0.018,0.286
1067.268,0.954,-0.26,-0.501,-0.094,0.158,0.027
1067.325,0.958,-0.26,-0.51,0.173,-0.194,0.118
1067.381,0.96,-0.261,-0.515,-0.041,0.272,0.218
1067.438,0.949,-0.261,-0.505,-0.293,-0.842,-0.454
1067.494,0.949,-0.257,-0.501,0.15,0.074,0.027
1067.55,0.953,-0.265,-0.51,-0.209,-0.377,0.095
1067.606,0.955,-0.261,-0.501,-0.048,0.455,0.072
1067.662,0.955,-0.265,-0.5,-0.086,-0.064,-0.172
1067.719,0.953,-0.262,-0.497,0.165,0.196,0.095
1067.776,0.941,-0.265,-0.506,0.097,-0.102,-0.095
1067.832,0.955,-0.26,-0.495,0.173,-0.094,-0.034
1067.888,0.952,-0.26,-0.505,-0.117,1.883,-0.073
1067.944,0.945,-0.262,-0.51,0.036,-0.003,0.034
1068.0,0.951,-0.26,-0.499,-0.148,0.013,0.034
1068.056,0.959,-0.263,-0.495,-0.285,0.318,0.134
1068.112,0.95,-0.269,-0.495,0.188,0.15,0.21
1068.168,0.953,-0.264,-0.502,-0.102,-0.522,-0.019
1068.225,0.952,-0.261,-0.509,-0.148,-0.239,0.004
1068.282,0.958,-0.263,-0.51,-0.17,0.249,0.034
1068.338,0.951,-0.259,-0.504,-0.033,-0.323,0.042
1068.394,0.962,-0.264,-0.505,-0.109,0.341,0.149
1068.45,0.958,-0.261,-0.505,-0.041,-0.774,-0.027
1068.506,0.96,-0.25,-0.497,0.051,1.295,-0.011
1068.562,0.952,-0.262,-0.5,0.158,-1.835,-0.111
1068.619,0.96,-0.261,-0.498,-0.025,1.013,0.271
1068.675,0.954,-0.256,-0.505,-0.071,-0.56,0.057
1068.732,0.959,-0.267,-0.507,-0.27,0.31,0.065
1068.788,0.957,-0.258,-0.499,-0.132,0.119,-0.103
1068.845,0.956,-0.26,-0.502,-0.071,0.104,-0.034
1068.901,0.954,-0.264,-0.496,-0.14,0.02,0.141
1068.958,0.955,-0.268,-0.499,0.074,-0.224,0.011
1069.014,0.958,-0.269,-0.505,-0.071,0.096,-0.195
1069.07,0.96,-0.254,-0.5,-0.094,-0.522,-0.042
1069.126,0.952,-0.259,-0.508,-0.155,0.638,0.118
1069.182,0.945,-0.265,-0.5,0.196,-1.178,-0.286
1069.238,0.952,-0.261,-0.5,0.12,0.974,0.134
1069.294,0.962,-0.255,-0.505,-0.132,0.112,0.225
1069.35,0.956,-0.269,-0.497,0.226,-0.331,-0.294
1069.406,0.953,-0.258,-0.505,-0.033,-1.01,-0.05
1069.462,0.938,-0.271,-0.512,-0.163,0.455,-0.118
1069.518,0.954,-0.258,-0.507,-0.094,0.593,0.156
1069.575,0.957,-0.264,-0.493,-0.048,0.211,-0.05
1069.631,0.959,-0.261,-0.502,-0.14,0.509,0.034
1069.687,0.939,-0.267,-0.493,0.043,-0.995,-0.088
1069.744,0.957,-0.256,-0.501,0.013,0.822,-0.057
1069.8,0.941,-0.255,-0.498,-0.01,-0.453,-0.202
1069.856,0.959,-0.257,-0.499,-0.086,0.555,0.019
1069.912,0.954,-0.264,-0.505,0.066,-0.056,0.141
1069.969,0.952,-0.265,-0.507,0.158,-0.323,-0.05
1070.025,0.957,-0.269,-0.5,-0.109,0.318,0.011
1070.081,0.959,-0.258,-0.489,0.043,-0.155,0.202
1070.137,0.954,-0.259,-0.492,0.204,0.074,0.042
1070.194,0.953,-0.278,-0.511,0.051,-0.606,-0.057
1070.25,0.951,-0.266,-0.506,-0.109,0.211,-0.164
1070.306,0.953,-0.265,-0.502,-0.163,0.471,0.172
1070.362,0.962,-0.258,-0.495,-0.041,-0.27,0.233
1070.419,0.961,-0.265,-0.499,-0.132,-0.697,0.088
1070.475,0.951,-0.269,-0.507,-0.025,-0.247,-0.118
1070.531,0.967,-0.261,-0.502,0.074,0.02,-0.126
1070.588,0.958,-0.26,-0.49,-0.018,0.814,0.057
1070.644,0.957,-0.255,-0.487,0.127,-0.774,-0.034
1070.7,0.939,-0.26,-0.512,-0.071,-0.026,0.134
1070.756,0.955,-0.264,-0.502,0.028,-0.529,0.271
1070.812,0.961,-0.258,-0.498,0.005,0.638,0.187
1070.868,0.962,-0.257,-0.486,0.02,-0.102,-0.034
1070.925,0.954,-0.257,-0.487,-0.033,0.005,0.072
1070.982,0.955,-0.26,-0.516,-0.094,-0.026,0.103
1071.038,0.958,-0.26,-0.503,0.12,0.051,0.065
1071.094,0.949,-0.267,-0.506,-0.01,0.081,0.019
1071.15,0.963,-0.264,-0.515,-0.209,-0.774,-0.034
1071.206,0.96,-0.261,-0.492,-0.361,2.211,0.324
1071.262,0.959,-0.262,-0.502,0.043,-2.743,-0.065
1071.319,0.958,-0.265,-0.496,-0.186,1.638,0.233
1071.375,0.955,-0.262,-0.509,-0.125,-3.255,-0.179
1071.431,0.953,-0.26,-0.502,-0.086,1.951,0.088
1071.488,0.96,-0.261,-0.497,0.127,-1.934,-0.019
1071.544,0.959,-0.262,-0.503,0.051,0.562,0.286
1071.6,0.952,-0.264,-0.508,-0.216,-0.652,0.103
1071.656,0.95,-0.265,-0.507,0.036,-0.499,-0.088
1071.713,0.956,-0.251,-0.506,-0.247,0.356,0.416
1071.769,0.954,-0.264,-0.501,0.135,-1.255,-0.05
1071.825,0.963,-0.264,-0.511,0.127,0.814,0.187
1071.882,0.957,-0.269,-0.506,-0.323,-0.69,0.103
1071.938,0.961,-0.258,-0.502,0.249,1.264,0.05
1071.994,0.955,-0.258,-0.501,-0.109,-0.43,-0.004
1072.05,0.955,-0.256,-0.498,-0.148,1.28,0.126
1072.106,0.961,-0.265,-0.494,0.12,-0.545,-0.164
1072.162,0.949,-0.266,-0.506,0.181,0.188,0.095
1072.218,0.958,-0.265,-0.51,-0.056,-0.888,-0.057
1072.275,0.941,-0.261,-0.51,-0.033,0.684,0.019
1072.331,0.953,-0.258,-0.503,0.051,-1.049,-0.347
1072.388,0.956,-0.262,-0.5,0.036,0.096,0.034
1072.444,0.955,-0.256,-0.507,0.005,-0.445,0.111
1072.5,0.953,-0.26,-0.503,-0.354,0.6,0.011
1072.556,0.947,-0.253,-0.508,-0.071,1.051,0.072
1072.613,0.951,-0.257,-0.506,-0.102,-1.216,0.027
1072.669,0.953,-0.268,-0.496,-0.186,1.264,0.248
1072.725,0.958,-0.258,-0.507,0.15,-0.522,-0.118
1072.781,0.957,-0.263,-0.499,0.081,0.623,-0.141
1072.837,0.957,-0.257,-0.498,-0.201,-0.758,-0.08
1072.893,0.956,-0.266,-0.508,-0.109,0.135,-0.233
1072.95,0.948,-0.259,-0.503,0.059,0.272,-0.179
1073.006,0.954,-0.267,-0.499,0.173,0.722,0.065
1073.063,0.956,-0.26,-0.496,-0.186,-0.461,0.149
1073.119,0.954,-0.263,-0.509,0.036,0.158,-0.286
1073.176,0.953,-0.265,-0.503,0.036,-0.171,-0.011
1073.232,0.94,-0.262,-0.498,0.12,0.272,-0.088
1073.289,0.955,-0.258,-0.502,-0.132,-0.3,0.286
1073.345,0.954,-0.255,-0.514,-0.01,-0.01,0.004
1073.402,0.951,-0.263,-0.507,-0.086,0.303,-0.027
1073.458,0.954,-0.261,-0.5,-0.132,-0.194,-0.004
1073.514,0.959,-0.26,-0.501,0.043,-0.071,0.134
1073.57,0.956,-0.259,-0.504,0.081,-0.537,-0.134
1073.626,0.95,-0.256,-0.511,-0.086,0.524,0.08
1073.682,0.954,-0.268,-0.498,-0.01,0.242,-0.011
1073.739,0.956,-0.261,-0.503,0.051,0.158,0.21
1073.795,0.954,-0.26,-0.507,0.127,-0.018,-0.095
1073.851,0.957,-0.263,-0.499,-0.148,-0.049,-0.233
1073.908,0.955,-0.266,-0.502,0.211,0.173,0.149
1073.964,0.942,-0.262,-0.503,0.013,0.104,0.08
1074.02,0.952,-0.252,-0.51,0.204,-1.98,-0.263
1074.076,0.958,-0.261,-0.503,-0.102,0.356,0.141
1074.133,0.981,-0.258,-0.512,-0.529,0.967,-0.782
1074.189,0.958,-0.262,-0.502,-0.025,0.066,0.103
1074.245,0.955,-0.259,-0.501,0.127,1.875,0.05
1074.301,0.957,-0.261,-0.504,-0.094,0.005,-0.126
1074.358,0.958,-0.268,-0.506,-0.086,0.562,-0.088
1074.415,0.961,-0.259,-0.5,0.211,-0.346,-0.088
1074.471,0.952,-0.26,-0.501,-0.201,0.02,-0.034
1074.528,0.956,-0.251,-0.501,0.234,-0.071,-0.004
1074.584,0.96,-0.27,-0.494,0.265,0.432,-0.019
1074.64,0.951,-0.268,-0.509,-0.102,-0.209,-0.172
1074.696,0.961,-0.258,-0.5,-0.232,-0.026,-0.134
1074.752,0.954,-0.263,-0.51,-0.048,-0.01,-0.111
1074.809,0.957,-0.262,-0.486,-0.201,-0.216,-0.134
1074.865,0.952,-0.265,-0.501,-0.125,0.127,0.088
1074.921,0.96,-0.261,-0.511,-0.209,-0.255,-0.118
1074.978,0.954,-0.26,-0.505,-0.086,-0.056,-0.05
1075.034,0.957,-0.259,-0.505,-0.148,0.18,-0.218
1075.09,0.958,-0.266,-0.5,-0.01,-0.262,0.095
1075.146,0.947,-0.26,-0.51,0.036,0.219,0.011
1075.202,0.954,-0.263,-0.507,-0.048,-0.155,0.004
1075.258,0.953,-0.263,-0.5,0.051,0.089,0.118
1075.314,0.96,-0.27,-0.506,0.066,-0.033,-0.027
1075.37,0.959,-0.263,-0.498,-0.14,-1.987,0.103
1075.426,0.941,-0.263,-0.498,0.028,-0.049,0.072
1075.482,0.958,-0.262,-0.501,-0.209,0.15,0.011
1075.539,0.956,-0.263,-0.502,0.066,-0.82,0.05
1075.595,0.953,-0.258,-0.494,0.028,0.684,-0.004
1075.651,0.945,-0.26,-0.498,-0.041,-0.392,-0.149
1075.707,0.959,-0.261,-0.495,0.127,-0.117,-0.019
1075.764,0.958,-0.262,-0.496,0.036,-0.178,0.05
1075.82,0.955,-0.262,-0.501,-0.254,0.211,-0.027
1075.876,0.958,-0.264,-0.498,0.15,-0.461,-0.065
1075.932,0.951,-0.267,-0.496,-0.148,0.677,0.057
1075.988,0.953,-0.262,-0.503,-0.132,-0.529,-0.134
1076.044,0.958,-0.264,-0.503,0.104,0.753,0.042
1076.1,0.95,-0.268,-0.49,0.135,-0.293,-0.027
1076.156,0.956,-0.268,-0.5,-0.056,0.318,-0.011
1076.213,0.958,-0.259,-0.5,0.043,0.242,0.126
1076.269,0.95,-0.261,-0.505,-0.094,-0.186,0.095
1076.325,0.939,-0.26,-0.502,-0.109,1.867,0.134
1076.386,0.956,-0.264,-0.5,0.089,0.028,0.118
1076.442,0.958,-0.261,-0.503,-0.163,-0.255,-0.05
1076.499,0.949,-0.262,-0.5,-0.025,0.005,-0.08
1076.555,0.955,-0.26,-0.497,0.005,-0.163,-0.034
1076.611,0.954,-0.267,-0.492,-0.086,0.058,0.149
1076.667,0.938,-0.264,-0.487,-0.117,-0.216,-0.103
1076.723,0.954,-0.262,-0.506,-0.041,0.249,-0.034
1076.779,0.945,-0.265,-0.506,-0.178,-0.125,-0.027
1076.836,0.956,-0.261,-0.503,0.127,0.188,0.187
1076.892,0.955,-0.263,-0.503,-0.003,-0.3,0.21
1076.948,0.958,-0.26,-0.5,0.059,-0.026,0.072
1077.005,0.954,-0.255,-0.504,0.234,-0.01,0.019
1077.061,0.938,-0.261,-0.495,0.081,-0.01,0.141
1077.118,0.938,-0.264,-0.503,0.013,0.081,0.027
1077.174,0.957,-0.262,-0.512,-0.033,-0.148,-0.134
1077.23,0.941,-0.259,-0.504,0.104,0.119,0.027
1077.286,0.957,-0.261,-0.5,-0.216,-0.232,-0.034
1077.343,0.957,-0.261,-0.5,-0.117,0.234,-0.08
1077.399,0.965,-0.269,-0.506,-0.064,-0.148,-0.149
1077.456,0.956,-0.261,-0.5,0.181,1.86,0.126
1077.512,0.948,-0.261,-0.504,-0.178,0.142,0.172
1077.569,0.954,-0.263,-0.502,-0.064,0.043,0.134
1077.626,0.957,-0.263,-0.503,0.02,0.272,0.057
1077.682,0.955,-0.261,-0.506,0.051,-0.316,-0.103
1077.739,0.95,-0.255,-0.512,-0.17,0.135,0.05
1077.795,0.961,-0.258,-0.505,-0.224,0.104,-0.019
1077.852,0.959,-0.263,-0.497,-0.064,-0.003,-0.095
1077.909,0.953,-0.262,-0.501,-0.094,-0.01,-0.187
1077.965,0.953,-0.261,-0.503,-0.132,0.058,0.027
1078.022,0.956,-0.265,-0.493,-0.025,-0.033,-0.011
